Event,Px,Py,Pz,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
515,0.580105,0.612156,-0.537348,5382.32,5273.51,0,108.803,0.0,0.0,0.0,0.0,740.657,0.0,10239
516,-0.385227,0.0108276,0.922758,3027.37,2702.14,0,325.222,0.0,0.0,0.0,0.0,404.709,0.0,8882
517,-0.325817,0.89351,0.309003,7478.13,7122.44,0,355.686,0.0,0.0,0.0,0.0,1036.69,0.0,12567
518,0.733144,-0.651001,0.196719,8727.45,8404.47,0,322.981,0.0,0.0,0.0,0.0,1222.24,0.0,12032
519,-0.879628,0.121673,0.459838,6239.04,5285.5,0,666.99,0.0,106.671,179.879,0.0,863.266,0.0,11269
520,0.0128054,0.319924,0.947357,4143.52,3419.15,0,329.326,0.0,106.65,288.396,0.0,555.364,0.0,11682
521,0.555959,-0.763965,0.327517,6367.06,6205.48,0,161.583,0.0,0.0,0.0,0.0,882.293,0.0,10924
522,-0.725661,-0.686589,-0.0448551,13249.9,11878.4,0,502.264,100.753,216.221,552.047,0.0,1858.78,0.288,17442
523,0.46936,-0.568752,-0.675442,4416.9,4000.97,0,415.937,0.0,0.0,0.0,0.0,603.912,0.0,9380
524,-0.364153,0.550741,0.75105,4232.98,3942.15,0,174.764,0.0,106.268,9.79411,0.0,578.115,0.0,9325
525,-0.73534,0.292099,-0.611517,4602.47,4315.97,0,286.506,0.0,0.0,0.0,0.0,630.042,0.0,9704
526,0.160262,-0.135888,0.977676,3388.64,3205.16,0,183.479,0.0,0.0,0.0,0.0,438.473,0.0,13503
527,-0.0597595,0.599297,0.798293,4693.64,4049.53,0,9.81171,0.0,103.457,530.846,0.0,635.01,0.0,11758
528,-0.834886,0.521804,0.175172,9684.26,9379.84,0,304.418,0.0,0.0,0.0,0.0,1358.12,0.0,13180
529,-0.748368,-0.640298,0.173099,8781.21,7135.07,0,182.987,0.0,294.446,927.88,240.827,1230.3,0.0,12034
530,-0.914501,-0.40035,-0.0583723,9951.77,9655.87,0,295.898,0.0,0.0,0.0,0.0,1394.29,0.0,13667
531,0.386404,-0.330012,-0.861269,3445.18,3360.95,0,84.2354,0.0,0.0,0.0,0.0,461.939,0.0,9621
532,0.208692,-0.302967,-0.92987,2981.19,2683.87,0,297.318,0.0,0.0,0.0,0.0,387.902,0.0,11692
533,0.888503,-0.000414327,0.45887,6036.18,5647.16,0,389.02,0.0,0.0,0.0,0.0,832.176,0.0,11334
534,0.770626,0.504959,0.388783,7230.48,6168.2,0,496.597,0.0,114.192,136.262,315.235,1001.93,0.0,12439
